#OTU_ID	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	Consensus lineage	Kingdom	Phylum	Class	Order	Family	Genus
0	24128	24758	10778	18826	20138	19536	7	32	36	6	20	1	2986	1557	4138	2869	6216	2647	2	3	25	19	6	12	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Saprospiraceae;g__SaprospiraceaeFA	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Saprospiraceae	SaprospiraceaeFA
1	9613	10923	11623	10951	8231	13487	245	114	199	47	80	5	13999	8487	9269	13666	7215	8311	25	35	61	57	76	43	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marinovum	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Marinovum
2	4	1	2	5	10	7	0	1	1	1	1	0	117	716	917	387	543	2300	0	1	1	1	0	0	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorubrum	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorubrum
3	11515	14334	8910	8200	12724	11612	1376	144	312	13	31	3	2036	2213	11276	2710	13781	2163	43	17	25	31	60	34	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Marinobacter
4	11125	9550	9268	9397	11739	10844	3	42	90	15	31	5	4306	4525	7136	5572	8161	5506	2	11	20	23	17	18	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GammaproteobacteriaCL;f__GammaproteobacteriaCL;g__GammaproteobacteriaCL	Bacteria	Proteobacteria	Gammaproteobacteria	GammaproteobacteriaCL	GammaproteobacteriaCL	GammaproteobacteriaCL
5	1	4	5	2	2	2	3528	887	1759	702	257	21	2	69	2	7	4	3	14222	11989	15075	14451	18392	5883	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__DesulfuromonadalesOR;g__DesulfuromonadalesOR	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	DesulfuromonadalesOR	DesulfuromonadalesOR
6	7645	8021	7278	7189	9518	4787	24	22	24	6	5	3	2900	3065	8892	3227	8398	3472	0	1	9	10	8	8	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Balneolaceae;g__BalneolaceaeFA	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Balneolaceae	BalneolaceaeFA
7	7754	6314	5566	6255	5067	10352	234	34	124	18	22	9	3538	3471	6161	5753	4559	5637	22	23	13	15	70	34	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivita	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Marivita
8	2	2	6	9	11	387	13	7	17	24	5	1	44407	8751	474	4549	19	6113	32	76	368	306	85	128	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__StramenopilesOR;g__StramenopilesOR	Bacteria	Cyanobacteria	Chloroplast	Stramenopiles	StramenopilesOR	StramenopilesOR
9	26	8	21	11	35	6	3	3	0	1	0	0	2	22	22	11	20	5	0	0	2	0	0	3	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	HalobacteriaceaeFA
10	6412	10143	4793	3061	3590	4697	644	9	35	2	2	5	2563	1407	4537	2043	3143	10311	6	2	8	6	19	8	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__ClostridialesOR;g__ClostridialesOR	Bacteria	Firmicutes	Clostridia	Clostridiales	ClostridialesOR	ClostridialesOR
11	8418	16437	4535	14332	4925	4029	3	24	6	7	2	2	61	76	155	5352	50	912	0	2	5	3	8	5	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__ClostridialesOR;g__ClostridialesOR	Bacteria	Firmicutes	Clostridia	Clostridiales	ClostridialesOR	ClostridialesOR
12	3378	3387	5383	3627	2311	2249	3	7	17	6	6	0	4038	3052	3030	1641	11367	7463	1	13	30	18	4	6	k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales;f__Halanaerobiaceae;g__Halanaerobium	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	Halanaerobium
13	7673	10810	3943	4670	1982	1976	62	13	18	6	1	0	2603	753	1185	2953	884	3441	0	3	15	18	7	12	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XI. Incertae Sedis;g__Clostridiales Family XI. Incertae SedisFA	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiales Family XI. Incertae Sedis	Clostridiales Family XI. Incertae SedisFA
14	7579	5191	2842	3934	5921	4810	38	33	48	10	11	2	1385	752	2131	1579	2018	1605	28	13	25	27	27	8	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__OM60;g__Congregibacter	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM60	Congregibacter
15	34	30	54	9	41	9	0	1	0	0	1	1	10	5	33	2	23	6	0	0	0	0	2	1	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__FlavobacteriaceaeFA	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	FlavobacteriaceaeFA
16	2	0	0	0	2	4	3502	449	1365	406	148	8	0	42	3	3	2	4	6184	5253	4881	4653	8516	2063	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__DesulfuromonadalesOR;g__DesulfuromonadalesOR	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	DesulfuromonadalesOR	DesulfuromonadalesOR
17	2148	3606	5235	1557	2191	1615	6775	42	14	1	10	0	985	388	2644	1003	3114	3154	0	0	1	3	0	2	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__ClostridialesOR;g__ClostridialesOR	Bacteria	Firmicutes	Clostridia	Clostridiales	ClostridialesOR	ClostridialesOR
18	13	19	88	23	21	11	113	30	112	41	18	0	27	67	1612	64	7053	95	901	394	248	254	2384	137	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Stramenopiles;f__StramenopilesOR;g__StramenopilesOR	Bacteria	Cyanobacteria	Chloroplast	Stramenopiles	StramenopilesOR	StramenopilesOR
19	1853	2062	1681	2402	2560	2348	0	7	10	1	1	0	4721	2983	2598	3075	2912	4499	1	3	102	58	17	2	k__Bacteria;p__Spirochaetes;c__Spirochaetes;o__Spirochaetales;f__Spirochaetaceae;g__Spirochaeta	Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	Spirochaetaceae	Spirochaeta
20	1362	165	11907	203	6200	5647	3	8	10	3	3	0	642	1170	1873	1367	424	849	4	16	275	203	46	379	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	HalobacteriaceaeFA
21	1	1	1	0	0	1	1181	227	458	413	149	20	1	2	1	0	3	0	6911	6063	4032	3956	7797	1112	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	SinobacteraceaeFA
22	0	1	1	1	0	1	87	9	185	2616	93	342	0	3	1	0	1	0	1281	2997	5527	4903	7377	5927	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__DesulfobacteraceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Desulfobacteraceae	DesulfobacteraceaeFA
23	4	8	1	9	0	15	788	29	34	39	17	4	4	44	5	8	0	21	2217	2580	3280	3312	14336	3957	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__CampylobacteralesOR;g__CampylobacteralesOR	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	CampylobacteralesOR	CampylobacteralesOR
25	1	0	0	1	0	3	1663	3599	4858	280	10698	8301	4	7	1	4	0	6	9	6	9	5	13	2	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__DesulfuromonadaceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	DesulfuromonadaceaeFA
26	1	3	0	1	0	1	1113	137	253	249	44	5	0	3	1	0	1	0	5119	6401	3318	3150	7655	1914	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__DesulfobacteraceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Desulfobacteraceae	DesulfobacteraceaeFA
27	2697	3215	1355	2977	3083	2245	3	3	4	1	0	1	1597	1590	1726	1024	1574	1677	0	0	2	4	3	7	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Balneolaceae;g__BalneolaceaeFA	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Balneolaceae	BalneolaceaeFA
28	2	4	1	0	1	2	1151	95	196	246	42	22	0	0	0	1	1	1	5466	7492	2670	2666	5408	1470	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__DesulfobulbaceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	DesulfobulbaceaeFA
29	1	1	0	2	3	0	1	0	0	1	1	0	1	2	7	9	0	5	15	640	165	140	155	25388	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Nautiliales;f__NautilialesOR;g__NautilialesOR	Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales	NautilialesOR	NautilialesOR
30	3	9	6	8	11	18	1	1	2	0	0	0	3	4	70	4	3	5	12	79	3395	2664	230	3326	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Balneolaceae;g__BalneolaceaeFA	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Balneolaceae	BalneolaceaeFA
31	5887	2575	1159	937	1585	1949	115	62	34	5	13	0	401	1154	1249	523	1061	500	276	110	154	131	813	130	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Halomonadaceae;g__Halomonas	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas
32	131	116	940	1421	85	1072	116	60	91	11	14	4	1648	3520	741	4291	267	7162	15	31	37	34	61	17	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	RhodobacteraceaeFA
33	572	302	703	93	1593	177	309	12	70	16	5	18	387	337	2727	295	3019	1969	62	60	217	172	224	125	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
34	353	300	1326	1001	324	892	379	186	204	43	130	9	2328	2995	873	2892	768	5196	29	61	49	44	177	31	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	RhodobacteraceaeFA
35	2119	2466	1658	1372	1579	753	0	2	2	1	0	0	670	282	1211	1076	5135	1800	1	0	1	4	5	7	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfohalobiaceae;g__Desulfohalobium	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfohalobiaceae	Desulfohalobium
37	3	4	9	9	5	10	36	240	137	6286	995	153	14	19	30	33	4	20	27	819	583	533	1828	5283	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Pelobacteraceae;g__Pelobacter	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Pelobacteraceae	Pelobacter
38	2445	2008	961	2122	1430	3856	0	13	7	13	3	0	800	1729	375	1331	40	243	1	6	232	173	15	48	k__Bacteria;p__OP9;c__JS1;o__BA021;f__BA021OR;g__BA021OR	Bacteria	OP9	JS1	BA021	BA021OR	BA021OR
40	2431	2384	1777	2094	1592	1183	0	4	3	2	1	0	1255	480	472	2634	659	1200	0	1	2	2	0	1	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales;f__Dethiosulfovibrionaceae;g__Aminobacterium	Bacteria	Synergistetes	Synergistia	Synergistales	Dethiosulfovibrionaceae	Aminobacterium
41	29	12	245	8	103	343	0	2	5	2	3	0	540	3223	1401	983	905	1857	1	2	11	13	1	11	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorubrum	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorubrum
42	1518	1479	1457	2144	1574	1566	1	10	28	2	7	0	1580	1301	814	1656	960	1771	1	1	41	27	6	24	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	SinobacteraceaeFA
43	2022	4142	3518	5149	630	726	0	3	0	0	1	1	372	156	325	452	224	347	0	0	4	1	0	2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
44	872	724	920	1064	537	593	0	1	2	2	0	1	5070	471	382	1611	2766	2135	0	0	3	2	0	1	k__Bacteria;p__Thermotogae;c__Thermotogae;o__Thermotogales;f__Thermotogaceae;g__Geotoga	Bacteria	Thermotogae	Thermotogae	Thermotogales	Thermotogaceae	Geotoga
45	4072	1724	1143	2164	1643	1307	0	7	1	4	1	3	2240	1195	350	1095	93	525	2	1	5	2	0	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales;f__Halanaerobiaceae;g__HalanaerobiaceaeFA	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	HalanaerobiaceaeFA
46	0	0	1	0	0	1	534	73	138	75	54	4	1	1	2	0	1	1	3036	4372	1828	1913	4129	1162	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__SyntrophobacteraceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Syntrophobacteraceae	SyntrophobacteraceaeFA
47	35	33	262	70	79	122	0	1	19	9	12	14	322	2221	1686	131	3121	721	290	91	481	443	217	78	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__Desulfobacula	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Desulfobacteraceae	Desulfobacula
48	1082	1602	2909	595	1577	507	1	2	2	5	0	9	317	409	1544	545	2131	563	14	45	55	47	245	67	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__Desulfobacter	Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	Desulfobacteraceae	Desulfobacter
49	0	1	1	0	0	1	476	39	183	609	430	651	1	5	1	0	0	0	1958	2080	2387	2329	4083	1133	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
50	0	0	0	0	0	1	1	0	9	1365	4	3	1	1	82	1	5	4	21	1338	1521	1301	1934	5195	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
51	0	1	1	0	1	2	0	23	0	2	117	274	2	3	13	9	2	4	67	3706	790	724	459	2753	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Balneolaceae;g__Balneola	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Balneolaceae	Balneola
52	2	1	3	0	0	2	487	92	256	89	46	3	0	1	1	0	0	0	2563	3558	1737	1774	3481	795	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	SinobacteraceaeFA
53	2282	2329	1481	2338	2402	1143	1	1	3	1	1	0	231	109	669	219	897	221	0	1	10	1	0	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Balneolaceae;g__BalneolaceaeFA	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Balneolaceae	BalneolaceaeFA
54	2176	1696	1473	1763	1533	1014	2	9	14	2	3	1	555	795	762	457	1137	450	0	2	6	5	3	8	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA	Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Sinobacteraceae	SinobacteraceaeFA
55	452	212	1049	196	978	326	2	0	1	0	2	1	767	166	1164	414	3413	4111	3	1	0	0	6	0	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
56	1	0	0	1	0	1	133	31	109	60	30	0	0	2	1	0	0	0	2478	3169	1817	1729	3404	826	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__OM60;g__OM60FA	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	OM60	OM60FA
57	1331	549	1025	529	499	929	2	9	16	1	0	0	781	1515	1586	525	527	563	5	105	25	36	167	120	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Halothiobacillaceae;g__Halothiobacillus	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Halothiobacillaceae	Halothiobacillus
58	0	2	0	0	0	0	2291	206	351	284	83	104	0	0	0	0	2	0	1775	1840	1474	1344	2853	385	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GammaproteobacteriaCL;f__GammaproteobacteriaCL;g__GammaproteobacteriaCL	Bacteria	Proteobacteria	Gammaproteobacteria	GammaproteobacteriaCL	GammaproteobacteriaCL	GammaproteobacteriaCL
59	0	0	0	0	0	0	0	696	187	7841	1997	2104	0	1	0	0	0	0	0	0	0	0	2	0	k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH	Bacteria	Acidobacteria	AcidobacteriaPH	AcidobacteriaPH	AcidobacteriaPH	AcidobacteriaPH
61	1585	1064	879	978	730	1011	2	17	48	1	15	0	165	485	623	206	455	197	18	93	750	568	207	867	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Balneolaceae;g__BalneolaceaeFA	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Balneolaceae	BalneolaceaeFA
62	3	6	4	9	8	13	0	0	2	0	1	0	35	335	268	76	164	308	0	0	15	8	1	6	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	HalobacteriaceaeFA
63	12	16	18	20	18	37	2	301	29	182	18	34	10	7	40	4	11	11	10	40	2032	1662	461	4878	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Pelobacteraceae;g__Pelobacter	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Pelobacteraceae	Pelobacter
64	534	519	665	433	871	489	0	1	1	1	0	1	780	231	1106	920	3125	2063	0	0	3	1	0	1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
65	2141	485	2674	1009	891	313	0	2	2	3	2	0	852	360	398	267	194	2285	0	1	3	3	0	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Halanaerobiales;f__Halanaerobiaceae;g__HalanaerobiaceaeFA	Bacteria	Firmicutes	Clostridia	Halanaerobiales	Halanaerobiaceae	HalanaerobiaceaeFA
66	262	77	432	482	171	148	0	0	10	0	5	0	5037	1604	1046	1463	100	924	0	0	1	1	2	1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
67	20	15	56	11	109	124	0	1	0	1	0	1	9	38	97	38	24	15	3	40	2341	1729	71	1202	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	HalobacteriaceaeFA
68	30	17	32	25	81	34	6	37	29	12	430	5697	14	25	26	26	12	16	7	12	2293	1845	84	514	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__DesulfuromonadalesOR;g__DesulfuromonadalesOR	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	DesulfuromonadalesOR	DesulfuromonadalesOR
69	15	8	39	14	142	150	0	0	0	0	0	2	41	149	264	157	138	149	1	0	17	12	0	7	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__Halorubrum	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorubrum
70	1572	2991	966	827	694	1776	51	13	11	3	9	3	272	192	589	318	300	387	1	0	2	3	15	5	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Salegentibacter	Bacteria	Bacteroidetes	Flavobacteria	Flavobacteriales	Flavobacteriaceae	Salegentibacter
71	1092	825	1078	608	2485	1854	0	2	3	0	3	0	210	325	703	246	543	240	0	0	268	197	25	37	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Rhodothermaceae;g__Salinibacter	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Rhodothermaceae	Salinibacter
72	1273	1404	885	1310	1525	923	2	189	608	69	130	7	177	137	466	152	669	198	0	2	113	95	21	43	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Balneolaceae;g__BalneolaceaeFA	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Balneolaceae	BalneolaceaeFA
73	1168	1008	941	449	1290	701	215	29	6	1	1	0	173	251	1018	194	1042	249	5	6	75	70	20	22	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Balneolaceae;g__Balneola	Bacteria	Bacteroidetes	Sphingobacteria	Sphingobacteriales	Balneolaceae	Balneola
74	745	642	1117	574	975	401	0	1	2	0	0	0	1160	963	937	622	1449	1208	1	0	2	0	0	1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
75	47	78	58	158	41	115	746	213	371	118	94	5	37	109	56	52	48	84	1173	2369	1112	940	2123	576	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__GammaproteobacteriaCL;f__GammaproteobacteriaCL;g__GammaproteobacteriaCL	Bacteria	Proteobacteria	Gammaproteobacteria	GammaproteobacteriaCL	GammaproteobacteriaCL	GammaproteobacteriaCL
76	1500	189	526	134	865	223	0	5	7	2	4	0	871	2397	846	440	414	1512	2	7	35	23	1	3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	BacteroidalesOR	BacteroidalesOR
77	119	127	173	308	128	357	6	81	10	13	26	12	506	4428	717	1394	96	1235	5	1	10	4	13	13	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__DesulfuromonadaceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	DesulfuromonadaceaeFA
78	1	2	0	0	0	0	445	9	16	74	1	0	1	2	0	0	0	0	876	785	2477	2423	2203	1071	k__Bacteria;p__Chloroflexi;c__Anaerolineae;o__GCA004;f__GCA004OR;g__GCA004OR	Bacteria	Chloroflexi	Anaerolineae	GCA004	GCA004OR	GCA004OR
79	0	0	0	0	0	0	0	10	133	2144	1354	6671	0	0	0	1	0	0	0	3	1	1	3	15	k__Bacteria;p__Chlorobi;c__Ignavibacteria;o__Ignavibacteriales;f__Ignavibacteriaceae;g__IgnavibacteriaceaeFA	Bacteria	Chlorobi	Ignavibacteria	Ignavibacteriales	Ignavibacteriaceae	IgnavibacteriaceaeFA
81	1026	840	1691	753	1106	721	90	54	56	11	14	1	224	190	694	209	1583	309	9	5	6	7	8	5	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Oceanicola	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Oceanicola
82	1588	350	762	711	748	378	1	7	4	0	0	0	81	535	626	108	251	173	8	63	1636	1233	90	158	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__DesulfuromonadaceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	DesulfuromonadaceaeFA
83	1	0	0	0	0	0	217	16	197	354	14	4	0	5	2	2	1	0	1574	1585	1388	1296	2602	875	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__DesulfobulbaceaeFA	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfobacterales	Desulfobulbaceae	DesulfobulbaceaeFA
